"Statistic Label","Year","Deciles","UNIT","VALUE"
"Average equivalised nominal disposable income","2024","1st decile","Euro","14183"
"Average equivalised nominal disposable income","2024","2nd decile","Euro","19070"
"Average equivalised nominal disposable income","2024","3rd decile","Euro","22231"
"Average equivalised nominal disposable income","2024","4th decile","Euro","25338"
"Average equivalised nominal disposable income","2024","5th decile","Euro","28377"
"Average equivalised nominal disposable income","2024","6th decile","Euro","31833"
"Average equivalised nominal disposable income","2024","7th decile","Euro","35464"
"Average equivalised nominal disposable income","2024","8th decile","Euro","40169"
"Average equivalised nominal disposable income","2024","9th decile","Euro","46896"
"Average equivalised nominal disposable income","2024","10th decile","Euro","78098"
"Lower decile boundary - equivalised nominal disposable income","2024","1st decile","Euro",""
"Lower decile boundary - equivalised nominal disposable income","2024","2nd decile","Euro","17436"
"Lower decile boundary - equivalised nominal disposable income","2024","3rd decile","Euro","20650"
"Lower decile boundary - equivalised nominal disposable income","2024","4th decile","Euro","23650"
"Lower decile boundary - equivalised nominal disposable income","2024","5th decile","Euro","27001"
"Lower decile boundary - equivalised nominal disposable income","2024","6th decile","Euro","29996"
"Lower decile boundary - equivalised nominal disposable income","2024","7th decile","Euro","33885"
"Lower decile boundary - equivalised nominal disposable income","2024","8th decile","Euro","37482"
"Lower decile boundary - equivalised nominal disposable income","2024","9th decile","Euro","43135"
"Lower decile boundary - equivalised nominal disposable income","2024","10th decile","Euro","52112"
"Upper decile boundary - equivalised nominal disposable income","2024","1st decile","Euro","17437"
"Upper decile boundary - equivalised nominal disposable income","2024","2nd decile","Euro","20651"
"Upper decile boundary - equivalised nominal disposable income","2024","3rd decile","Euro","23651"
"Upper decile boundary - equivalised nominal disposable income","2024","4th decile","Euro","27002"
"Upper decile boundary - equivalised nominal disposable income","2024","5th decile","Euro","29997"
"Upper decile boundary - equivalised nominal disposable income","2024","6th decile","Euro","33886"
"Upper decile boundary - equivalised nominal disposable income","2024","7th decile","Euro","37483"
"Upper decile boundary - equivalised nominal disposable income","2024","8th decile","Euro","43136"
"Upper decile boundary - equivalised nominal disposable income","2024","9th decile","Euro","52113"
"Upper decile boundary - equivalised nominal disposable income","2024","10th decile","Euro",""
"Average household nominal disposable income","2024","1st decile","Euro","16119"
"Average household nominal disposable income","2024","2nd decile","Euro","27679"
"Average household nominal disposable income","2024","3rd decile","Euro","37473"
"Average household nominal disposable income","2024","4th decile","Euro","45519"
"Average household nominal disposable income","2024","5th decile","Euro","54409"
"Average household nominal disposable income","2024","6th decile","Euro","63646"
"Average household nominal disposable income","2024","7th decile","Euro","74282"
"Average household nominal disposable income","2024","8th decile","Euro","86289"
"Average household nominal disposable income","2024","9th decile","Euro","103089"
"Average household nominal disposable income","2024","10th decile","Euro","169962"
"Lower decile boundary - household nominal disposable income","2024","1st decile","Euro",""
"Lower decile boundary - household nominal disposable income","2024","2nd decile","Euro","21380"
"Lower decile boundary - household nominal disposable income","2024","3rd decile","Euro","32703"
"Lower decile boundary - household nominal disposable income","2024","4th decile","Euro","41691"
"Lower decile boundary - household nominal disposable income","2024","5th decile","Euro","49850"
"Lower decile boundary - household nominal disposable income","2024","6th decile","Euro","58922"
"Lower decile boundary - household nominal disposable income","2024","7th decile","Euro","68592"
"Lower decile boundary - household nominal disposable income","2024","8th decile","Euro","80052"
"Lower decile boundary - household nominal disposable income","2024","9th decile","Euro","93598"
"Lower decile boundary - household nominal disposable income","2024","10th decile","Euro","114434"
"Upper decile boundary - household nominal disposable income","2024","1st decile","Euro","21381"
"Upper decile boundary - household nominal disposable income","2024","2nd decile","Euro","32704"
"Upper decile boundary - household nominal disposable income","2024","3rd decile","Euro","41692"
"Upper decile boundary - household nominal disposable income","2024","4th decile","Euro","49851"
"Upper decile boundary - household nominal disposable income","2024","5th decile","Euro","58923"
"Upper decile boundary - household nominal disposable income","2024","6th decile","Euro","68593"
"Upper decile boundary - household nominal disposable income","2024","7th decile","Euro","80053"
"Upper decile boundary - household nominal disposable income","2024","8th decile","Euro","93599"
"Upper decile boundary - household nominal disposable income","2024","9th decile","Euro","114435"
"Upper decile boundary - household nominal disposable income","2024","10th decile","Euro",""
